조사연도,노선명,시점이정,종점이정,개통연도,차로,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
2019,호남논산천안선,64.2,68.3,1973,4,21029,820,3780,1873,1073,654,440,485,6,888,10,110
2019,호남논산천안선,68.3,73,1973,6,40131,956,4770,1015,1058,261,342,11,0,652,2,66
2019,호남논산천안선,73,74.2,1973,5,54177,1295,6424,1321,1431,332,463,12,0,883,3,82
2019,호남논산천안선,74.2,77,1973,4,78595,1361,12376,2911,955,497,228,234,2,373,3,62
2019,호남논산천안선,77,78.4,1973,5,105359,1711,13842,1261,1810,353,417,31,2,818,2,41
2019,호남논산천안선,78.4,80.6,1973,4,91584,1275,11381,1498,1605,323,711,27,9,603,9,51
2019,호남논산천안선,80.6,83,1973,4,69569,2364,11949,1846,4063,1659,1558,13,7,857,85,134
2019,호남논산천안선,83,85,1973,4,43616,1472,7621,1266,2651,1089,1014,4,5,582,52,90
2019,호남논산천안선,85,87.1,1973,4,34474,1161,5976,979,2070,855,798,3,2,442,38,64
2019,호남논산천안선,87.1,93.7,1973,4,31762,1085,5460,887,1871,782,727,3,2,405,37,59
2019,호남논산천안선,93.7,99,1973,4,28160,1707,6617,1018,3057,1311,1108,4,4,511,66,87
2019,호남논산천안선,99,111.1,1973,4,26188,1389,2649,2742,1907,483,309,92,0,249,11,68
2019,호남논산천안선,111.1,120.3,1973,4,24433,1632,3594,1441,2601,2099,1133,104,26,333,6,92
2019,호남논산천안선,120.3,128.7,1973,4,24536,1642,3615,1455,2686,2144,1144,104,27,340,7,95
2019,호남논산천안선,128.7,141.6,1973,4,25992,1728,3781,1523,2683,2205,1192,118,31,345,7,97
2019,호남논산천안선,141.6,152.1,1973,4,28316,1879,4123,1661,3043,2409,1280,127,33,381,7,113
2019,호남논산천안선,152.1,156.8,1973,4,26631,1721,4196,2569,3453,1002,976,5,1,411,68,81
2019,호남논산천안선,156.8,163.4,1973,4,27225,2029,4678,2193,3751,1145,1272,20,5,547,67,133
2019,호남논산천안선,163.4,169.4,1973,4,26292,1963,4503,2105,3533,1087,1231,18,3,514,64,120
2019,호남논산천안선,169.4,175.5,1970,4,32105,2402,5424,2510,4188,1266,1473,25,8,613,80,152
2019,호남논산천안선,175.5,177.8,1970,6,36659,2258,3000,2989,2665,880,799,108,7,401,10,130
2019,호남논산천안선,177.8,181.5,1970,8,58733,3557,4517,4783,3811,1302,1589,215,8,1161,22,277
2019,호남논산천안선,181.5,194.2,1970,8,50024,2946,3612,3936,3238,1073,1382,175,7,1020,20,249
2019,순천완주선,0.5,5.6,2011,4,10941,407,888,466,528,556,508,148,2,439,4,94
2019,순천완주선,5.6,25,2011,4,15047,746,1715,1107,1339,678,1441,214,2,1243,13,309
2019,순천완주선,25,37.8,2011,4,13570,670,1539,1009,1237,618,1334,187,1,1130,11,277
2019,순천완주선,37.8,52.6,2011,4,14982,741,1700,1121,1354,679,1463,211,1,1228,11,302
2019,순천완주선,52.6,58.3,2010,4,15719,507,1181,594,754,559,449,286,4,599,4,190
2019,순천완주선,58.3,62.1,2010,4,13791,509,896,590,664,492,754,213,3,916,6,256
2019,순천완주선,62.1,75.8,2010,4,15555,782,1288,1368,1513,861,1041,372,7,1118,4,259
2019,순천완주선,75.8,85.6,2010,4,19771,671,1217,975,990,673,796,312,4,938,6,258
2019,순천완주선,85.6,103.5,2010,4,14249,712,1624,1051,1280,662,1368,208,2,1141,8,281
2019,순천완주선,103.5,113.3,2010,4,11956,591,1369,896,1100,544,1203,167,1,1002,7,246
2019,순천완주선,113.3,117.8,2010,4,16433,812,2379,981,1393,590,2158,82,1,1533,24,399
2019,세종포천고속도로,0,5.3,2017,6,28617,409,5841,1341,843,1672,169,1,1,319,0,83
2019,세종포천고속도로,5.3,12.6,2017,6,39061,547,8073,1921,1233,2431,246,1,1,468,0,120
2019,세종포천고속도로,12.6,19.2,2017,6,38793,534,7941,1904,1245,2395,247,1,1,484,0,125
2019,세종포천고속도로,19.2,22.4,2017,6,41292,558,8418,1975,1349,2575,252,1,1,496,0,130
2019,세종포천고속도로,22.4,28.3,2017,6,34293,453,6891,1726,1111,2138,216,1,1,444,0,121
2019,세종포천고속도로,28.3,30.5,2017,6,30700,421,6172,1514,986,1939,189,1,1,380,0,111
2019,세종포천고속도로,30.5,35.2,2017,4,33985,447,6657,1694,1190,2234,220,1,1,462,0,130
2019,세종포천고속도로,35.2,41.2,2017,4,26529,355,5146,1302,912,1707,170,1,1,349,0,103
2019,세종포천고속도로,41.2,44.8,2017,4,15595,221,3199,785,530,1044,101,0,1,204,0,55
2019,당직영덕선A,0,8.1,2007,4,20686,1269,7492,2520,5216,1547,2373,261,15,1008,27,528
2019,당직영덕선A,8.1,18.8,2007,4,25157,1405,6219,3575,5144,1515,2054,372,30,1368,55,508
2019,당직영덕선A,18.8,29.6,2007,4,24712,769,2484,2165,2456,629,663,249,14,737,24,264
2019,당직영덕선A,29.6,35.6,2007,4,24391,1124,3873,3804,4340,1163,1328,348,17,1453,43,424
2019,당직영덕선A,35.6,51.8,2007,4,23535,1107,3722,3648,4169,1125,1266,342,18,1388,43,411
2019,당직영덕선A,51.8,70.8,2007,4,23103,1093,3659,3602,4177,1100,1269,330,19,1383,40,396
2019,당직영덕선A,70.8,79.4,2007,4,24760,1065,4166,3653,4527,1173,1303,310,10,1489,25,455
2019,당직영덕선A,79.4,81.4,2016,4,3602,156,708,297,247,123,92,8,0,59,2,17
2019,당직영덕선A,81.4,92.3,2016,4,6608,143,741,289,209,139,73,8,0,41,1,10
2019,당직영덕선A,92.3,112.3,2016,4,5874,150,649,249,159,130,58,9,0,37,1,9
